IdDistrito,Distrito,IdCargo,Cargo,idAgrupacion,Agrupacion,idLista,lista
2.0,Buenos Aires,7.0,CONCEJALES,766.0,RENOVADOR FEDERAL,1.0,SOMOS RENOVADORES
2.0,Buenos Aires,7.0,CONCEJALES,503.0,AVANZA LIBERTAD,3.0,REPUBLICANOS UNIDOS
14.0,Misiones,3.0,DIPUTADOS NACIONALES,,,,
14.0,Misiones,3.0,DIPUTADOS NACIONALES,71.0,DEL OBRERO,1.0,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD
14.0,Misiones,3.0,DIPUTADOS NACIONALES,181.0,"LIBERTAD,VALORES Y CAMBIO",1.0,VIDA Y LIBERTAD
14.0,Misiones,3.0,DIPUTADOS NACIONALES,501.0,FRENTE JUNTOS POR EL CAMBIO,5.0,JUNTOS SOMOS MISIONES
14.0,Misiones,3.0,DIPUTADOS NACIONALES,501.0,FRENTE JUNTOS POR EL CAMBIO,1.0,ADELANTE MISIONES
14.0,Misiones,3.0,DIPUTADOS NACIONALES,501.0,FRENTE JUNTOS POR EL CAMBIO,3.0,JUNTOS
14.0,Misiones,3.0,DIPUTADOS NACIONALES,501.0,FRENTE JUNTOS POR EL CAMBIO,4.0,JUNTOS POR MISIONES
14.0,Misiones,3.0,DIPUTADOS NACIONALES,501.0,FRENTE JUNTOS POR EL CAMBIO,2.0,APERTURA REPUBLICANA
14.0,Misiones,3.0,DIPUTADOS NACIONALES,502.0,FRENTE RENOVADOR DE LA CONCORDIA,1.0,"ROJA,AZUL Y BLANCA"
14.0,Misiones,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE TODOS,3.0,"TIERRA,TECHO Y TRABAJO"
14.0,Misiones,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE TODOS,1.0,CELESTE Y BLANCA
14.0,Misiones,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE TODOS,2.0,POPULAR AGRARIO Y SOCIAL (PAyS)
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,194.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,1.0,TODOS ENTRE RÍOS
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR ENTRE RÍOS,3.0,JUNTOS
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR ENTRE RÍOS,2.0,ENTRE RÍOS CAMBIA
